Feature,Importance
Prelab-result4,0.240560851479189
Inlab-result4,0.19889830137865966
Inlab-result1,0.185592885557359
Prelab-result1,0.1645317336196241
Prelab-result2,0.08542052259415908
Prelab-result3,0.045404284777172746
Inlab-result3,0.04467755074942564
Inlab-result2,0.03491386984441092
