studentID,Prelab-result1,Inlab-result1,Prelab-result2,Inlab-result2,Prelab-result3,Inlab-result3,Prelab-result4,Inlab-result4
2053032,9.875,6.895,10.0,10.0,10.0,10.0,9.958333333333334,8.965
2212651,10.0,9.8875,10.0,10.0,10.0,10.0,10.0,9.9625
2212940,9.5,8.25,10.0,10.0,10.0,10.0,9.833333333333334,9.416666666666666
2211069,9.6875,9.1225,10.0,10.0,10.0,10.0,9.895833333333334,9.707500000000001
2110826,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2110152,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2052589,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2011047,8.75,3.5,0.0,0.0,0.0,0.0,2.9166666666666665,1.1666666666666667
2211729,9.8125,9.1825,9.6,10.0,10.0,10.0,9.804166666666667,9.7275
2212075,10.0,9.66,10.0,10.0,10.0,10.0,10.0,9.886666666666667
2211101,10.0,9.9175,10.0,10.0,9.93,10.0,9.976666666666667,9.9725
2211960,8.9375,9.4625,10.0,10.0,10.0,10.0,9.645833333333334,9.820833333333333
2210432,9.625,10.0,9.95,10.0,10.0,10.0,9.858333333333333,10.0
2111700,9.2325,9.3175,10.0,10.0,10.0,10.0,9.744166666666667,9.7725
2112590,9.5,6.35,9.95,9.1175,9.67,10.0,9.706666666666665,8.489166666666668
2052992,9.166666666666666,9.66,10.0,10.0,6.67,10.0,8.612222222222222,9.886666666666667
2213114,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2212864,9.125,10.0,9.1675,10.0,9.285,10.0,9.1925,10.0
2212421,9.25,10.0,8.89,10.0,0.0,10.0,6.046666666666667,10.0
2210882,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2210103,9.25,10.0,9.1675,10.0,10.0,10.0,9.4725,10.0
2212209,8.875,9.1675,8.335,0.0,8.645,10.0,8.618333333333334,6.389166666666667
2014815,9.925,7.5,10.0,10.0,10.0,10.0,9.975,9.166666666666666
2212607,6.375,7.855,10.0,10.0,8.57,0.0,8.315,5.951666666666667
2212383,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2213772,8.92,9.47,10.0,9.95,10.0,10.0,9.64,9.806666666666667
2211954,9.25,10.0,10.0,10.0,10.0,5.125,9.75,8.375
2212083,9.3125,10.0,10.0,10.0,10.0,10.0,9.770833333333334,10.0
2210392,9.75,9.66,10.0,0.0,10.0,10.0,9.916666666666666,6.553333333333334
2210270,10.0,10.0,9.1675,10.0,10.0,10.0,9.7225,10.0
2211651,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2210830,9.4375,4.6325,10.0,10.0,10.0,10.0,9.8125,8.210833333333333
2052749,9.875,9.3175,9.65,8.75,0.0,10.0,6.508333333333333,9.355833333333335
2212610,8.89,8.75,10.0,10.0,10.0,10.0,9.63,9.583333333333334
2252139,7.5,9.7725,10.0,10.0,10.0,10.0,9.166666666666666,9.924166666666666
2211590,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2213838,9.875,6.0675,8.2,5.733333333333333,9.285,10.0,9.12,7.266944444444444
2211322,10.0,8.75,10.0,10.0,10.0,10.0,10.0,9.583333333333334
1852443,9.625,9.1825,10.0,10.0,0.0,0.0,6.541666666666667,6.394166666666666
2213656,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2210501,6.3125,4.25,9.55,10.0,9.57,10.0,8.477500000000001,8.083333333333334
2211491,4.75,0.0,10.0,10.0,10.0,10.0,8.25,6.666666666666667
2210508,9.875,10.0,10.0,10.0,10.0,10.0,9.958333333333334,10.0
1915749,10.0,9.0075,10.0,10.0,10.0,10.0,10.0,9.669166666666667
2252536,9.375,8.91,10.0,10.0,10.0,10.0,9.791666666666666,9.636666666666667
2252775,8.0,8.932500000000001,10.0,10.0,9.5,8.75,9.166666666666666,9.227500000000001
2152500,9.875,9.4325,9.5,10.0,10.0,10.0,9.791666666666666,9.810833333333333
2153888,9.5975,6.0675,10.0,10.0,10.0,9.75,9.865833333333333,8.605833333333333
2252193,9.875,10.0,10.0,10.0,10.0,10.0,9.958333333333334,10.0
2252365,9.875,10.0,10.0,10.0,10.0,10.0,9.958333333333334,10.0
2212871,9.75,8.5,10.0,10.0,10.0,10.0,9.916666666666666,9.5
2252731,3.8333333333333335,5.0,10.0,10.0,0.0,9.875,4.611111111111112,8.291666666666666
2252114,10.0,9.415,9.9,10.0,10.0,10.0,9.966666666666667,9.805
2252381,8.0,10.0,10.0,10.0,10.0,10.0,9.333333333333334,10.0
2211621,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2252009,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2252327,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2213111,9.375,10.0,10.0,10.0,10.0,10.0,9.791666666666666,10.0
2252494,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2252217,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2252859,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2110559,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2252136,8.875,2.9175,9.85,10.0,10.0,10.0,9.575000000000001,7.639166666666667
2252629,8.69,8.1675,10.0,10.0,10.0,10.0,9.563333333333333,9.389166666666666
2212615,9.875,10.0,10.0,10.0,10.0,10.0,9.958333333333334,10.0
2010044,8.782499999999999,8.78,9.6,9.6675,8.145,10.0,8.8425,9.4825
1913683,6.295,8.645,8.7175,9.95,0.0,10.0,5.004166666666666,9.531666666666666
2211316,9.75,9.9175,9.85,10.0,10.0,10.0,9.866666666666667,9.9725
2252621,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
1910908,8.59,8.295,8.7175,9.6675,10.0,10.0,9.1025,9.320833333333333
2252444,10.0,9.7725,10.0,10.0,10.0,10.0,10.0,9.924166666666666
2211081,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2220035,10.0,9.7725,10.0,10.0,10.0,10.0,10.0,9.924166666666666
2212896,0.0,0.6666666666666666,0.0,10.0,0.0,0.0,0.0,3.5555555555555554
2252023,9.875,10.0,10.0,10.0,10.0,10.0,9.958333333333334,10.0
1852502,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2210230,9.875,10.0,6.67,10.0,10.0,10.0,8.848333333333334,10.0
2212362,9.875,10.0,10.0,10.0,10.0,10.0,9.958333333333334,10.0
2252898,10.0,9.66,10.0,10.0,10.0,10.0,10.0,9.886666666666667
2210318,10.0,9.7725,10.0,10.0,10.0,10.0,10.0,9.924166666666666
2211848,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
1913756,10.0,10.0,10.0,10.0,9.285,8.125,9.761666666666667,9.375
2213140,9.75,9.7725,9.95,10.0,10.0,9.94,9.9,9.904166666666667
2011901,8.9175,5.75,10.0,10.0,10.0,10.0,9.639166666666666,8.583333333333334
2210532,9.75,8.4625,9.1675,10.0,9.835,10.0,9.584166666666667,9.487499999999999
2211170,10.0,1.82,10.0,10.0,10.0,10.0,10.0,7.273333333333333
2212982,9.75,9.9175,10.0,10.0,9.855,10.0,9.868333333333334,9.9725
2053372,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
1952610,9.1875,0.0,8.25,0.0,10.0,0.0,9.145833333333334,0.0
2212880,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2252058,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2213841,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
